기관명,병합시스템명,시스템명,등급,DR유무,이중화유무,예산사업No,세부사업명,단위사업명,국회확정금액(천원),매칭방법,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널,서비스대상,업무도메인,시스템유형,기관유형,금융관련,개인정보수준,서비스채널
고용노동부,홈페이지,대표홈페이지,2,N,Y,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,본부,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,본부,N,저,웹
고용노동부,근로감독행정 정보시스템(노사누리),근로감독행정 정보시스템(노사누리),2,N,Y,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,혼합,노사관계,업무처리시스템,본부,N,중,웹,혼합,노사관계,업무처리시스템,본부,N,중,웹
고용노동부,고용노동부내부업무시스템(다우리),다우리포털시스템,3,N,Y,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,대국민,정보공개·홍보,홈페이지/포털,본부,N,저,웹,대국민,정보공개·홍보,홈페이지/포털,본부,N,저,웹
고용노동부,고용노동부내부업무시스템(다우리),메일시스템,3,N,Y,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,내부,행정지원,업무처리시스템,본부,N,저,웹,내부,행정지원,업무처리시스템,본부,N,저,웹
고용노동부,과태료관리시스템,과태료관리시스템,3,N,Y,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,내부,행정지원,업무처리시스템,본부,N,저,웹,내부,행정지원,업무처리시스템,본부,N,저,웹
고용노동부,고용노동부내부업무시스템(다우리),배우리시스템,3,N,일부,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,내부,행정지원,업무처리시스템,본부,N,저,웹,내부,행정지원,업무처리시스템,본부,N,저,웹
고용노동부,고용노동부내부업무시스템(다우리),kmc(산하기관)시스템,3,N,N,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,내부,행정지원,업무처리시스템,본부,N,저,웹,내부,행정지원,업무처리시스템,본부,N,저,웹
고용노동부,개인정보접속이력관리시스템,개인정보접속이력관리시스템,4,N,N,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,내부,행정지원,내부인프라,본부,N,저,웹,내부,행정지원,내부인프라,본부,N,저,웹
고용노동부,고용노동통계조사 정보시스템,고용노동통계조사 정보시스템,4,N,N,1,고용노동행정(정보화),고용노동행정정보화,"23,739,000",기관매핑,내부,고용서비스,데이터/분석,본부,N,저,웹,내부,고용서비스,데이터/분석,본부,N,저,웹
중앙노동위원회,노사마루,노사마루(조정심판),4,N,Y,7,노동위원회정보화운영(정보화),노동위원회운영,"2,959,000",기관매핑,혼합,노사관계,업무처리시스템,위원회,N,중,웹,혼합,노사관계,업무처리시스템,위원회,N,중,웹
